2025-10-01T12:29:45.832668658Z [inf]  2025-10-01 12:29:39,183 - KARMA-LiveBOT - INFO - 🎵 sturmpelz11 is LIVE on TikTok!
2025-10-01T12:29:45.832673164Z [inf]  2025-10-01 12:29:39,184 - KARMA-LiveBOT - INFO - Handling stream status for ✨Sturmpelz✨ on tiktok: is_live=True
2025-10-01T12:29:45.832677012Z [inf]  2025-10-01 12:29:39,184 - KARMA-LiveBOT - INFO - Creator ✨Sturmpelz✨ on tiktok: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T12:29:45.832694229Z [inf]  2025-10-01 12:29:41,187 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Starte intelligente Live-Verifikation...
2025-10-01T12:29:45.832697970Z [inf]  2025-10-01 12:29:41,187 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Teste TikTokLive library...
2025-10-01T12:29:45.832701922Z [inf]  2025-10-01 12:29:41,646 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive async call erfolgreich: False
2025-10-01T12:29:45.832707042Z [inf]  2025-10-01 12:29:41,646 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive library bestätigt - user offline
2025-10-01T12:29:45.832710660Z [inf]  2025-10-01 12:29:41,646 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive library Ergebnis: False
2025-10-01T12:29:45.832714301Z [inf]  2025-10-01 12:29:41,646 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Teste HTML-Parsing von https://www.tiktok.com/@tikzzay...
2025-10-01T12:29:45.832718084Z [err]  2025-10-01 12:29:42,017 - KARMA-LiveBOT.TikTok - WARNING - TikTok tikzzay: SIGI_STATE nicht gefunden
2025-10-01T12:29:45.832722151Z [inf]  2025-10-01 12:29:42,019 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: HTML-Parsing Ergebnis: False
2025-10-01T12:29:45.832726529Z [inf]  2025-10-01 12:29:42,019 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: ❌ Beide Methoden bestätigen - User offline
2025-10-01T12:29:45.832730630Z [inf]  2025-10-01 12:29:42,020 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on tiktok: is_live=False
2025-10-01T12:30:05.828480657Z [inf]  2025-10-01 12:30:00,166 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T12:30:05.828487093Z [inf]  2025-10-01 12:30:00,518 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=False
2025-10-01T12:30:06.794441764Z [inf]  2025-10-01 12:30:06,792 - KARMA-LiveBOT - DEBUG - 📺 Checking 1 YouTube creators
2025-10-01T12:30:06.944286159Z [inf]  2025-10-01 12:30:06,920 - KARMA-LiveBOT - INFO - YouTube scraping for tikzzay: OFFLINE (indicators: 0)
2025-10-01T12:30:06.944292681Z [inf]  2025-10-01 12:30:06,922 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on youtube: is_live=False
2025-10-01T12:30:56.933473747Z [inf]  2025-10-01 12:30:48,241 - KARMA-LiveBOT - INFO - 🤖 Bot status updated: 🤖Discord Member: 116
2025-10-01T12:31:02.524162176Z [inf]  2025-10-01 12:31:02,522 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T12:31:03.122512241Z [inf]  2025-10-01 12:31:03,119 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=False
2025-10-01T12:32:13.219712494Z [inf]  2025-10-01 12:32:05,145 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T12:32:13.219719695Z [inf]  2025-10-01 12:32:05,737 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=False
2025-10-01T12:32:53.205799185Z [inf]  2025-10-01 12:32:44,041 - KARMA-LiveBOT - DEBUG - 🎵 Checking 2 TikTok creators
2025-10-01T12:32:53.205805911Z [inf]  2025-10-01 12:32:44,041 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Starte intelligente Live-Verifikation...
